AREA,PERIMETER,CIT0002_,CIT0002_ID,FPL,STATFIPS,PLACFIPS,NAME,STATE,TOTALPOP,HOUSEUNT,LANDAREA,WATRAREA,LAT,LONG,observed
0.00191,0.37809,77.0,2.0,39940,35,39940,Las Vegas city,NM,14753,5716,19224.0,10.0,+35.599236,-105.219582,
0.00013,0.05296,78.0,3.0,35250,35,35250,Jemez Pueblo CDP,NM,1301,337,1305.0,0.0,+35.616274,-106.726249,
0.00279,0.29091,79.0,17.0,36720,35,36720,La Cienega CDP,NM,1066,392,28040.0,0.0,+35.576487,-106.110432,
0.0,0.00537,80.0,3.0,0,,,,,0,0,0.0,0.0,,,
0.00014,0.05631,81.0,4.0,16560,35,16560,Cochiti CDP,NM,434,158,1421.0,0.0,+35.608845,-106.349644,
0.0004,0.10085,82.0,4.0,55620,35,55620,Pecos village,NM,1012,418,4047.0,0.0,+35.575031,-105.678731,
0.00061,0.11941,83.0,5.0,55830,35,55830,Pena Blanca CDP,NM,300,105,6133.0,0.0,+35.571414,-106.336214,
0.0006,0.09791,84.0,6.0,71020,35,71020,San Ysidro village,NM,233,93,6060.0,0.0,+35.556545,-106.771924,
0.00552,0.36235,85.0,18.0,22625,35,22625,Eldorado at Santa Fe CDP,NM,2260,877,55524.0,0.0,+35.526365,-105.934240,
0.00025,0.06428,86.0,5.0,28460,35,28460,Gallup city,NM,19154,6706,28580.0,0.0,+35.520427,-108.735359,
0.00576,0.33109,87.0,7.0,86420,35,86420,Zia Pueblo CDP,NM,637,167,57858.0,115.0,+35.513898,-106.725384,
0.00297,0.65064,88.0,7.0,28460,35,28460,Gallup city,NM,19154,6706,28580.0,0.0,+35.520427,-108.735359,
0.00051,0.1037,89.0,8.0,70810,35,70810,Santo Domingo Pueblo CDP,NM,2866,453,5184.0,0.0,+35.515909,-106.365767,
0.0,0.00303,90.0,6.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00587,91.0,8.0,0,,,,,0,0,0.0,0.0,,,
0.00313,0.29751,92.0,9.0,67450,35,67450,San Felipe Pueblo CDP,NM,1557,321,30856.0,787.0,+35.434310,-106.428403,
0.00216,0.40582,93.0,1.0,42040,35,42040,Logan village,NM,870,858,20612.0,1227.0,+35.360998,-103.443416,
0.00192,0.22796,94.0,10.0,70250,35,70250,Santa Ana Pueblo CDP,NM,476,140,18041.0,1364.0,+35.352536,-106.518479,
0.01193,0.80606,95.0,11.0,63530,35,63530,Rio Rancho city,NM,32505,12325,118259.0,182.0,+35.273422,-106.660442,
0.00382,0.3446,96.0,12.0,58070,35,58070,Placitas CDP,NM,1611,677,38486.0,0.0,+35.320189,-106.465837,
0.00087,0.17778,97.0,14.0,6970,35,06970,Bernalillo town,NM,5960,2179,14285.0,309.0,+35.316012,-106.555718,
0.0001,0.04335,98.0,13.0,0,,,,,0,0,0.0,0.0,,,
3e-05,0.03111,99.0,15.0,6970,35,06970,Bernalillo town,NM,5960,2179,14285.0,309.0,+35.316012,-106.555718,
7e-05,0.03382,100.0,16.0,6970,35,06970,Bernalillo town,NM,5960,2179,14285.0,309.0,+35.316012,-106.555718,
2e-05,0.01992,101.0,17.0,0,,,,,0,0,0.0,0.0,,,
0.00244,0.22437,102.0,18.0,17960,35,17960,Corrales village,NM,5453,2196,27766.0,1367.0,+35.234953,-106.619968,
2e-05,0.01889,108.0,3.0,63460,,,,,0,0,0.0,0.0,,,
0.00075,0.13126,114.0,9.0,66765,35,66765,Sandia Heights CDP,NM,3519,1420,9176.0,0.0,+35.176931,-106.490724,
0.00049,0.13946,115.0,2.0,48620,35,48620,Milan village,NM,1911,735,6959.0,12.0,+35.188963,-107.891958,
0.00027,0.14239,116.0,10.0,55270,35,55270,Paradise Hills CDP,NM,5513,1962,3790.0,0.0,+35.196510,-106.694292,
0.0001,0.05082,117.0,11.0,55270,35,55270,Paradise Hills CDP,NM,5513,1962,3790.0,0.0,+35.196510,-106.694292,
0.0,0.00669,118.0,12.0,0,,,,,0,0,0.0,0.0,,,
0.00188,0.56528,119.0,2.0,79910,35,79910,Tucumcari city,NM,6831,3164,19081.0,32.0,+35.167449,-103.727482,
0.00105,0.21017,120.0,14.0,43930,35,43930,Los Ranchos de Albuquerque village,NM,3955,1581,9462.0,0.0,+35.165133,-106.648987,
2e-05,0.03223,121.0,13.0,0,,,,,0,0,0.0,0.0,,,
0.0035,0.36304,122.0,3.0,30490,35,30490,Grants city,NM,8626,3532,35393.0,4.0,+35.153390,-107.838278,
0.0,0.00886,123.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
5e-05,0.02925,124.0,15.0,0,,,,,0,0,0.0,0.0,,,
0.00013,0.05551,127.0,18.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00734,128.0,20.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.0077,129.0,21.0,0,,,,,0,0,0.0,0.0,,,
0.0019,0.2713,133.0,5.0,54710,35,54710,Paguate CDP,NM,492,195,19190.0,41.0,+35.134594,-107.363806,
0.0,0.00819,134.0,4.0,79910,35,79910,Tucumcari city,NM,6831,3164,19081.0,32.0,+35.167449,-103.727482,
0.0,0.00767,138.0,26.0,0,,,,,0,0,0.0,0.0,,,
