function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,colums,rows,SFS,dataset
run_classifier,817.2076511,,,LogRC,FALSE,41,21114,FALSE,native-country,0.911251105,0.912143601,,,14,32562,TRUE,adult
run_classifier,12.33900094,,,DTC,FALSE,41,21114,FALSE,native-country,0.915782493,0.917779672,,,14,32562,TRUE,adult
run_classifier,103.7246499,,,RFC,FALSE,41,21114,FALSE,native-country,0.91489832,0.917400777,,,14,32562,TRUE,adult
run_regressor,103.014621,,,RFR,FALSE,41,21114,FALSE,native-country,,,31.13617621,33.30550797,14,32562,TRUE,adult
run_regressor,4.341175079,,,LinR,FALSE,41,21114,FALSE,native-country,,,34.81542717,36.77687172,14,32562,TRUE,adult
run_classifier,78.49888611,0.180379593,0.032536798,LogRC,FALSE,71,21114,TRUE,age,0.041114058,0.044330776,,,14,32562,FALSE,adult
run_classifier,3.819074869,0.180379593,0.032536798,DTC,FALSE,71,21114,TRUE,age,0.050066313,0.810125983,,,14,32562,FALSE,adult
run_classifier,5.786102772,0.180379593,0.032536798,RFC,FALSE,71,21114,TRUE,age,0.050618921,0.792175808,,,14,32562,FALSE,adult
run_regressor,2.976991892,0.180379593,0.032536798,RFR,FALSE,71,21114,TRUE,age,,,107.7261768,36.72894948,14,32562,FALSE,adult
run_regressor,0.115319014,0.180379593,0.032536798,LinR,FALSE,71,21114,TRUE,age,,,145.8840628,150.1877263,14,32562,FALSE,adult
run_classifier,4.905328035,,,LogRC,FALSE,7,21114,FALSE,workclass,0.744805482,0.73633608,,,14,32562,FALSE,adult
run_classifier,0.892068863,,,DTC,FALSE,7,21114,FALSE,workclass,0.609858532,0.924126172,,,14,32562,FALSE,adult
run_classifier,2.134629965,,,RFC,FALSE,7,21114,FALSE,workclass,0.712201592,0.931135739,,,14,32562,FALSE,adult
run_regressor,3.050770998,,,RFR,FALSE,7,21114,FALSE,workclass,,,0.947416372,0.316859166,14,32562,FALSE,adult
run_regressor,0.13618207,,,LinR,FALSE,7,21114,FALSE,workclass,,,0.886304266,0.900630815,14,32562,FALSE,adult
run_classifier,16.87937403,,,LogRC,FALSE,16,21114,FALSE,education,0.324160035,0.335180449,,,14,32562,FALSE,adult
run_classifier,1.291606903,,,DTC,FALSE,16,21114,FALSE,education,1,1,,,14,32562,FALSE,adult
run_classifier,3.048532963,,,RFC,FALSE,16,21114,FALSE,education,0.963859416,0.993227243,,,14,32562,FALSE,adult
run_regressor,1.863907814,,,RFR,FALSE,16,21114,FALSE,education,,,0,0,14,32562,FALSE,adult
run_regressor,0.119885921,,,LinR,FALSE,16,21114,FALSE,education,,,12.83360334,12.60606139,14,32562,FALSE,adult
run_classifier,17.61398411,0.168739912,0.028473158,LogRC,FALSE,16,21114,TRUE,education-num,0.524314766,0.537652742,,,14,32562,FALSE,adult
run_classifier,1.345545053,0.168739912,0.028473158,DTC,FALSE,16,21114,TRUE,education-num,1,1,,,14,32562,FALSE,adult
run_classifier,3.286960125,0.168739912,0.028473158,RFC,FALSE,16,21114,TRUE,education-num,0.936892131,0.987496448,,,14,32562,FALSE,adult
run_regressor,1.937482119,0.168739912,0.028473158,RFR,FALSE,16,21114,TRUE,education-num,,,0.008965517,0.000925137,14,32562,FALSE,adult
run_regressor,0.103379965,0.168739912,0.028473158,LinR,FALSE,16,21114,TRUE,education-num,,,5.512053584,5.326593056,14,32562,FALSE,adult
run_classifier,6.110358,,,LogRC,FALSE,7,21114,FALSE,marital-status,0.640694076,0.631050488,,,14,32562,FALSE,adult
run_classifier,0.880888939,,,DTC,FALSE,7,21114,FALSE,marital-status,0.782382847,0.955053519,,,14,32562,FALSE,adult
run_classifier,2.354017019,,,RFC,FALSE,7,21114,FALSE,marital-status,0.82183908,0.960736952,,,14,32562,FALSE,adult
run_regressor,2.492294073,,,RFR,FALSE,7,21114,FALSE,marital-status,,,1.755391492,0.607851136,14,32562,FALSE,adult
run_regressor,0.125710011,,,LinR,FALSE,7,21114,FALSE,marital-status,,,1.965500082,1.999880787,14,32562,FALSE,adult
run_classifier,11.83398604,,,LogRC,FALSE,14,21114,FALSE,occupation,0.173297966,0.17310789,,,14,32562,FALSE,adult
run_classifier,1.241121054,,,DTC,FALSE,14,21114,FALSE,occupation,0.236516357,0.84839443,,,14,32562,FALSE,adult
run_classifier,2.634228945,,,RFC,FALSE,14,21114,FALSE,occupation,0.280172414,0.838164251,,,14,32562,FALSE,adult
run_regressor,2.917165041,,,RFR,FALSE,14,21114,FALSE,occupation,,,17.25726707,5.842344185,14,32562,FALSE,adult
run_regressor,0.136582136,,,LinR,FALSE,14,21114,FALSE,occupation,,,15.80395332,16.00402265,14,32562,FALSE,adult
run_classifier,4.275359154,,,LogRC,FALSE,6,21114,FALSE,relationship,0.517241379,0.511461589,,,14,32562,FALSE,adult
run_classifier,0.862682104,,,DTC,FALSE,6,21114,FALSE,relationship,0.721706454,0.942265795,,,14,32562,FALSE,adult
